"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"C1,C3,C4,C20,C22,C24,C26,C28,C30";"CP_Elec_6.3x7.7";9;"100uF";;;
2;"C2";"CP_Elec_10x14.3";1;"330uF";;;
3;"C5,C9";"C_1210_3225Metric";2;"100nF";;;
4;"C15,C16,C17,C18";"C_1210_3225Metric";4;"10uF";;;
5;"D1,D2,D4,D6,D8,D11";"D_SOD-123";6;"1N5819";;;
6;"F1";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"Fuse_Power";;;
7;"F2";"Fuseholder_Blade_ATO_Littelfuse_Pudenz_2_Pin";1;"F_Heatbed_15A";;;
8;"H1,H2,H3,H4,H5";"MountingHole_3.2mm_M3";5;"MountingHole";;;
9;"J1";"PinHeader_2x02_P2.54mm_Vertical";1;"Power";;;
10;"J3";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Power_IN";;;
11;"J4";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Heatbed_Power_In";;;
12;"J5";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Power_1";;;
13;"J6";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Power_2";;;
14;"J7";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Power_3";;;
15;"J10";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";1;"Power_Heat";;;
16;"J12";"PinHeader_1x03_P2.54mm_Vertical";1;"Z+";;;
17;"J13";"PinHeader_1x03_P2.54mm_Vertical";1;"Z-";;;
18;"J14";"PinHeader_1x03_P2.54mm_Vertical";1;"Y+";;;
19;"J15";"PinHeader_1x03_P2.54mm_Vertical";1;"Y-";;;
20;"J16";"PinHeader_1x03_P2.54mm_Vertical";1;"X+";;;
21;"J17";"PinHeader_1x03_P2.54mm_Vertical";1;"X-";;;
22;"J21";"PinHeader_2x03_P2.54mm_Vertical";1;"Thermistor+LPW";;;
23;"J22";"PinHeader_1x03_P2.54mm_Vertical";1;"SV1";;;
24;"J23";"PinHeader_1x03_P2.54mm_Vertical";1;"SV4";;;
25;"J24";"PinHeader_1x03_P2.54mm_Vertical";1;"SV3";;;
26;"J25";"PinHeader_1x03_P2.54mm_Vertical";1;"SV2";;;
27;"J28";"PinHeader_2x03_P2.54mm_Vertical";1;"ENDSTOP";;;
28;"J29";"PinHeader_2x03_P2.54mm_Vertical";1;"CS_SPI";;;
29;"J33";"PinHeader_1x04_P2.54mm_Vertical";1;"x-Stepper";;;
30;"J34";"PinHeader_1x04_P2.54mm_Vertical";1;"Y_STEP";;;
31;"J36";"PinHeader_1x04_P2.54mm_Vertical";1;"Z_STEP";;;
32;"J39";"PinHeader_1x04_P2.54mm_Vertical";1;"y-Stepper";;;
33;"J41";"PinHeader_1x04_P2.54mm_Vertical";1;"X_STEP";;;
34;"J44";"PinHeader_1x04_P2.54mm_Vertical";1;"z-Stepper";;;
35;"J46";"PinHeader_1x04_P2.54mm_Vertical";1;"E2_STEP";;;
36;"J49";"PinHeader_1x04_P2.54mm_Vertical";1;"e2-Stepper";;;
37;"J51";"PinHeader_1x04_P2.54mm_Vertical";1;"E3_STEP";;;
38;"J54";"PinHeader_1x04_P2.54mm_Vertical";1;"e3-Stepper";;;
39;"J57";"PinHeader_1x04_P2.54mm_Vertical";1;"E1_STEP";;;
40;"J60";"PinHeader_1x04_P2.54mm_Vertical";1;"e1-Stepper";;;
41;"L1";"L_Bourns-SRN1060";1;"330uH";;;
42;"R2";"R_1206_3216Metric";1;"1K";;;
43;"R3";"R_1206_3216Metric";1;"10K";;;
44;"R5,R8,R11,R17";"R_1206_3216Metric";4;"100";;;
45;"R6,R9,R12,R18";"R_1206_3216Metric";4;"33K";;;
46;"R21,R22,R23,R24";"R_1206_3216Metric";4;"4K7";;;
47;"U1";"TO-220-5_Vertical";1;"LM2575-5.0BT";;;
48;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
49;"J27";"PinHeader_1x05_P2.54mm_Vertical";1;"FET";;;
50;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"SPI";;;
51;"J18";"PinHeader_2x04_P2.54mm_Vertical";1;"Thermistor";;;
52;"Q2";"SOT-23";1;"PMV40UN2";;;
53;"J30";"PinSocket_1x08_P2.54mm_Vertical";1;"x-Step_High";;;
54;"J31";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_x";;;
55;"J32";"PinSocket_1x08_P2.54mm_Vertical";1;"x-Step_Low";;;
56;"J35";"PinSocket_1x08_P2.54mm_Vertical";1;"y-Step_Low";;;
57;"J37";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_y";;;
58;"J38";"PinSocket_1x08_P2.54mm_Vertical";1;"y-Step_High";;;
59;"J40";"PinSocket_1x08_P2.54mm_Vertical";1;"z-Step_Low";;;
60;"J42";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_z";;;
61;"J43";"PinSocket_1x08_P2.54mm_Vertical";1;"z-Step_High";;;
62;"J45";"PinSocket_1x08_P2.54mm_Vertical";1;"e2-Step_Low";;;
63;"J47";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_e2";;;
64;"J48";"PinSocket_1x08_P2.54mm_Vertical";1;"e2-Step_High";;;
65;"J50";"PinSocket_1x08_P2.54mm_Vertical";1;"e3-Step_Low";;;
66;"J52";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_e3";;;
67;"J53";"PinSocket_1x08_P2.54mm_Vertical";1;"e3-Step_High";;;
68;"J56";"PinSocket_1x08_P2.54mm_Vertical";1;"e1-Step_Low";;;
69;"J58";"PinSocket_1x01_P2.54mm_Vertical";1;"Dia_e1";;;
70;"J59";"PinSocket_1x08_P2.54mm_Vertical";1;"e1-Step_High";;;
71;"J8";"PinHeader_1x02_P2.54mm_Vertical";1;"Fan_Cooler";;;
72;"Q1";"TO-263-3_TabPin2";1;"HUF76439S3ST";;;
73;"Q3,Q4,Q5";"TO-263-3_TabPin2";3;"HUF76639S3ST";;;
74;"J19";"PinHeader_1x04_P2.54mm_Vertical";1;"SV";;;
